nifa,net_tfa,tw,age,inc,fsize,educ,db,marr,twoearn,e401,p401,pira,hown,yr,ghat,hhat
1500,200,1950,31,39672,4,16,0,1,1,1,0,0,0,-5696.198421162124,-5083.148370985475,.3357729453146627
500,200,40200,31,24006,2,11,0,1,0,1,1,0,1,-5696.198421162124,-406.5309493661792,.2340259465209784
9999,-2001,11849,35,32364,1,12,0,0,0,1,1,0,1,-7897.198421162124,3165.237665950729,.3452523737987591
599,599,31524,46,24996,2,14,0,0,0,0,0,0,1,599,4272.37977910793,.2740221093741115
399,399,11299,39,25224,3,12,1,0,0,0,0,0,0,399,-831.1469840060528,.4897319360715007
20,20,10020,30,19980,5,9,0,1,1,0,0,0,1,20,-4177.871427628781,.1350773609356924
0,0,0,51,16320,10,12,0,1,0,1,0,0,0,-5896.198421162124,-1573.627626972439,.1767786816761715
10000,14910,14910,39,15300,6,16,0,1,0,0,0,1,0,14910,20743.47316397089,.1357263202795125
0,0,0,25,11865,5,12,0,1,1,0,0,0,0,0,-5616.805912517699,.0636130847791647
5000,11100,29100,32,49920,3,12,0,1,1,1,1,0,1,5203.801578837876,1249.287310131017,.4801195275849915
15612,24612,189612,60,62700,3,16,0,1,0,0,0,1,1,24612,88848.55668980371,.5365428084436293
5109,-10391,-1841,30,3207,1,17,0,0,0,0,0,0,0,-10391,-2148.901854914851,.0354037739501999
499,99,99,42,23430,5,13,0,0,0,0,0,0,0,99,-2764.132675062265,.2655407320980644
0,-500,8604,33,25500,5,12,0,1,0,0,0,0,1,-500,-950.076506005078,.2711369100022304
200,-930,5070,31,12600,3,13,0,0,0,0,0,0,0,-930,-2550.519193265717,.0797650835339654
2863,-387,8313,47,36906,4,12,0,1,1,1,0,0,1,-6283.198421162124,-362.885158207618,.4224812062730348
3000,3000,5350,36,10386,1,16,0,0,0,1,0,0,0,-2896.198421162124,-1256.839966831684,.1081224130069823
13000,22350,137650,37,55560,4,13,0,1,1,0,0,1,1,22350,37800.60814767957,.4827694328872559
60550,61000,85000,32,59667,2,18,0,1,1,1,1,0,1,55103.80157883788,5100.139733342793,.512238857012411
149,5709,5709,35,28407,4,11,0,1,1,1,1,0,0,-187.1984211621239,-4690.821572760371,.2326155580421643
0,-128,-128,32,22080,3,10,0,1,1,0,0,0,0,-128,-4862.638107934932,.1160257508723841
18,-1597,38903,39,32139,5,13,0,1,1,1,1,0,1,-7493.198421162124,-2041.502439689513,.3352311811893646
2600,-19175,-4175,30,28716,4,15,0,1,0,0,0,0,0,-19175,-2593.594224054398,.246179237608149
2300,4000,12000,31,27708,3,13,0,1,0,0,0,1,0,4000,14475.05018578216,.2600878741689847
499,-12001,7499,25,50649,2,12,0,1,1,0,0,0,1,-12001,2203.775203565881,.313265356281354
742,-8388,2212,28,28530,3,12,0,1,1,0,0,1,1,-8388,13476.64540299602,.2811000325615978
61788,61788,99288,45,34488,4,12,0,1,1,1,1,0,1,55891.80157883788,-267.7227448918191,.3685072002956113
0,0,0,38,21600,1,14,0,0,0,0,0,0,0,0,-1256.839966831684,.2065800844252582
0,0,51840,40,12597,1,12,0,0,0,0,0,0,1,0,952.2478641496987,.1251206838395686
500,500,24000,40,62745,7,11,1,1,1,0,0,0,1,500,3980.45906272767,.5134731103751997
237,-4918,-918,42,28377,4,12,0,1,1,0,0,0,1,-4918,-2297.177002653312,.3243843987905665
7349,-6060,73940,56,40389,2,16,0,1,1,1,1,0,1,-11956.19842116212,6596.408743337091,.4396049819027447
11000,26900,51900,37,49650,5,16,0,1,1,0,0,1,1,26900,30326.61798680139,.5131698196175122
3487,3487,16487,26,44394,2,14,0,1,1,1,0,0,1,-2409.198421162124,-524.7102406839673,.4099626526195325
4100,18300,103300,60,38337,5,12,0,1,0,1,1,1,1,12403.80157883788,51245.54191619271,.4212024242939162
2993,-5007,9493,31,14763,4,14,0,1,0,0,0,0,1,-5007,-1485.108460878916,.1400886779015185
20,-2800,-2800,37,37491,2,12,1,1,1,1,1,0,0,-8696.198421162124,-2703.756629362854,.5835360262928759
2799,-5701,30199,49,16950,3,14,0,1,0,0,0,0,1,-5701,3184.3573612948,.1975897256351123
37649,-84151,-48188,58,13074,1,11,0,0,0,0,0,0,1,-84151,5373.337800181888,.0891472645655914
49033,79328,161003,48,88596,1,16,1,0,0,1,1,1,1,73431.80157883788,103708.6187214207,.7156573896498638
885,-39915,-23415,44,34686,5,15,0,1,0,0,0,0,1,-39915,2471.322831394098,.4023695247475071
5049,3049,29529,39,16614,8,10,1,0,0,1,0,0,1,-2847.198421162124,-1518.013064429789,.4115506546115444
12500,7500,247500,63,78750,4,18,1,1,1,0,0,0,1,7500,67347.84765415323,.4755180352741619
3749,3049,37049,38,26964,4,14,0,1,0,1,1,0,1,-2847.198421162124,560.250018082263,.3093995071891923
26398,23898,105898,54,71604,2,13,0,1,0,0,0,0,1,23898,62052.87104816528,.6022083531409577
122,-768,6832,33,27486,4,10,0,1,0,0,0,0,1,-768,-1118.913146686268,.2713107012849207
0,0,1000,32,9780,1,12,0,1,0,0,0,0,0,0,-2148.901854914851,.083396015983896
2600,2600,42550,34,53760,5,14,0,0,0,0,0,0,1,2600,13111.20624312357,.4881841569715489
16600,28000,88750,53,39978,1,15,0,0,0,0,0,1,0,28000,46139.83826978178,.3853275142565966
8600,7600,90600,58,33219,4,12,0,1,0,0,0,0,1,7600,10348.56015440249,.2748191401912201
200,-5900,37885,40,40800,1,18,1,0,0,0,0,0,1,-5900,11596.64669902439,.5546590567968801
1500,-1335,-335,28,31800,4,12,0,1,0,0,0,0,0,-1335,-2593.594224054398,.2721090198869663
41,-1195,1805,30,19239,6,12,0,1,0,0,0,0,1,-1195,-1806.267527228754,.1833157031951632
2600,2600,2600,25,4944,1,18,0,0,0,0,0,0,0,2600,-1348.838359693025,.0466517574328495
100,-2550,-2225,31,12240,2,14,0,1,0,0,0,0,0,-2550,-2148.901854914851,.0855899740651586
0,-3861,-3361,58,11736,3,8,1,0,0,0,0,0,0,-3861,2259.477848312453,.3097816708343182
8700,5900,61900,47,64500,3,15,0,1,1,0,0,0,1,5900,17148.3969761823,.5887670968771231
156100,162100,266100,36,70878,4,13,0,1,1,1,0,1,1,156203.8015788379,42832.10327120165,.6152734430010407
810,-5190,12810,45,47178,4,14,0,1,1,0,0,0,1,-5190,5899.331287987597,.4484327625241887
5021,5021,55021,54,9600,3,12,0,1,0,0,0,0,1,5021,3449.906562740573,.1122725641057293
0,2080,-888,34,31983,4,13,0,1,0,1,1,0,1,-3816.198421162124,-219.5280818961942,.3424889435470804
5000,4924,6849,48,11244,1,14,0,0,0,0,0,0,0,4924,-257.8880994710125,.1058781185606269
4778,1778,43778,49,48585,3,12,1,1,1,0,0,0,1,1778,7274.019410692096,.6606119019944152
200,200,21200,38,43209,3,14,0,1,0,0,0,0,1,200,10420.80475329675,.4670296889118311
20,320,320,55,7650,1,10,1,0,0,1,1,0,0,-5576.198421162124,1617.832501068591,.2618741670342234
0,-4575,-4575,31,25800,5,9,0,1,0,1,1,0,0,-10471.19842116212,-2865.364881846041,.1822170073594497
400,-19600,11400,46,48000,4,13,0,1,0,0,0,0,0,-19600,9507.41183671434,.3617953792701071
2899,22899,284899,41,49134,5,12,0,1,0,1,1,0,1,17002.80157883788,11701.77048300469,.4771789505134701
2049,3749,50749,60,43425,4,11,0,1,1,0,0,1,1,3749,47177.70553932294,.4123432219102184
48833,55933,184529,64,49440,1,15,1,0,0,1,0,1,1,50036.80157883788,89972.23362409187,.6148628296496523
5000,41241,58141,42,48900,3,14,1,1,0,1,1,1,1,35344.80157883788,41243.6896488245,.6862303122914961
89509,89509,309509,57,28113,3,12,0,1,0,1,0,0,1,83612.80157883788,11065.53144483552,.257233580992462
0,-400,8061,30,8400,2,12,0,0,0,0,0,0,0,-400,-2148.901854914851,.0274592198444394
400,200,4200,47,20400,6,12,0,1,0,0,0,0,1,200,616.2478650031956,.2131711726527044
5117,5617,90617,34,54819,2,16,1,1,1,1,1,0,1,-279.1984211621239,2501.710107942595,.7072630286576711
2000,4000,305000,29,25059,7,8,0,1,1,1,1,0,1,-1896.198421162124,-4482.845540317493,.2444853857524425
500,-4500,5025,27,28560,1,12,0,0,0,0,0,0,0,-4500,-429.0235466501618,.2506798217862872
1999,1999,1999,30,28356,4,12,0,1,0,0,0,0,0,1999,-2593.594224054398,.2446187834783291
30198,60196,267050,44,97887,4,16,0,1,1,1,1,1,1,54299.80157883788,69613.38311749081,.5971293052164819
0,0,3000,27,12240,4,6,0,1,0,0,0,0,1,0,-1944.07655520476,.0670183595975124
5,-8195,-8195,28,27246,4,14,0,1,1,0,0,0,0,-8195,-5362.580129238648,.246179237608149
0,0,11725,60,7452,4,9,0,0,0,0,0,0,1,0,3304.801221845468,.0316648978845466
0,0,0,41,48000,1,18,0,0,0,0,0,0,0,0,7560.937359316077,.3046941208814475
0,-5000,170000,56,41466,4,12,0,1,1,0,0,0,1,-5000,-577.7567617572743,.450336165462633
6100,4500,16500,46,49692,3,12,0,1,1,1,1,0,1,-1396.198421162124,8105.824333289014,.5063592383639096
42499,43799,43799,46,30933,1,12,0,0,0,1,0,0,0,37902.80157883788,2079.600146526585,.2997825090434476
2065,1791,23591,28,30936,4,12,0,1,1,0,0,1,1,1791,12068.2834834902,.3085902689702349
2800,-2000,5000,52,100041,4,16,0,1,0,1,1,0,1,-7896.198421162124,55529.90457074696,.5900304786163019
2000,2000,146000,54,40665,2,12,0,1,0,0,0,0,1,2000,16895.84000156118,.4641516125406074
893,-4270,99730,38,40488,4,16,0,1,0,1,1,0,1,-10166.19842116212,8971.709958402522,.4664826579450299
479,43959,76959,45,37893,2,12,0,1,1,1,1,0,1,38062.80157883788,2171.44670271081,.4192594699220695
3699,9699,30999,27,56691,2,18,0,1,1,0,0,1,1,9699,29966.52533018679,.4803760009195926
0,2500,42500,51,10800,1,9,0,0,0,1,1,0,1,-3396.198421162124,2732.874125237731,.0931847033572551
250,-1550,17950,39,16392,4,12,0,1,1,1,0,0,1,-7446.198421162124,-2313.96585535982,.1825370452805017
30248,20262,34637,27,15291,1,14,0,0,0,0,0,0,0,20262,-2148.901854914851,.1273150953015062
12200,52475,102475,44,68352,5,12,0,1,0,1,1,1,1,46578.80157883788,61109.58777746461,.6957116483610583
21075,31075,70175,59,36342,1,13,1,0,0,1,1,0,1,25178.80157883788,15139.00035364028,.6374299626364094
549,549,71349,39,39366,2,1,0,1,1,0,0,0,1,549,2051.085965215123,.4939876451725987
500,-2550,-1050,37,35070,5,12,0,0,0,1,1,1,1,-8446.198421162124,26718.54333311881,.4011151222610125
14348,23198,66998,38,55992,5,14,0,1,1,1,0,1,1,17301.80157883788,37615.86574017914,.4872489687364356
299,-15051,-1551,48,29964,5,12,0,1,0,0,0,0,1,-15051,2058.331310717594,.3255856138150193
199,8199,8199,44,10173,1,18,0,0,0,0,0,1,0,8199,24963.51788468758,.1207412219915017
35758,36108,89530,38,42030,1,14,0,0,0,1,1,0,1,30211.80157883788,7869.132535449933,.4680134067015292
399,17399,22399,46,39894,3,12,1,1,1,1,1,1,1,11502.80157883788,25071.99676041789,.6393719693876103
2100,398,398,37,20781,2,9,0,1,0,0,0,0,0,398,-1477.143298436577,.15248625790524
12100,11900,77900,59,42858,3,12,0,1,0,0,0,0,1,11900,36145.04190247069,.4182229484722048
20299,18299,26299,38,88200,3,14,0,1,0,0,0,1,1,18299,77104.1937264462,.5900151668483405
1200,2850,31250,38,15000,1,12,1,0,0,1,1,0,1,-3046.198421162124,612.5504321455029,.4725508219331657
6500,6500,43012,48,79311,1,18,1,1,0,1,0,0,0,603.8015788378761,34538.44812897433,.573155962447585
11500,-2000,-2000,35,30000,2,12,0,1,1,1,0,0,0,-7896.198421162124,-2623.121401829089,.3103204588356043
8025,16025,119704,29,74070,1,18,0,0,0,1,1,1,1,10128.80157883788,63180.1487786315,.6398461291531895
2200,-5250,18200,31,28272,1,16,1,0,0,1,0,0,1,-11146.19842116212,552.9338975511488,.5556538728015932
0,-400,600,36,6411,2,13,0,0,0,0,0,0,0,-400,-1256.839966831684,.0560957076330962
400,-3450,-3450,36,14559,3,12,1,1,1,0,0,0,0,-3450,-4275.939924636858,.4353220043769899
34347,39354,117254,61,70557,2,12,0,1,0,0,0,1,1,39354,97521.6903760827,.4304163310637691
0,0,65000,59,12960,4,12,0,1,0,0,0,0,1,0,4160.32800359575,.1042055918735654
1100,3800,13800,41,46815,3,12,0,1,1,0,0,1,0,3800,24422.68711606673,.3702868075710316
40365,123365,213365,56,42417,3,8,0,1,1,1,1,1,1,117468.8015788379,38076.75056873089,.4286365015727365
0,0,35000,32,36210,4,10,0,1,1,0,0,0,1,0,-3664.5834398793,.3782754054137082
6500,6320,25420,38,40350,4,12,1,1,1,1,1,0,1,423.8015788378761,-2357.442676404333,.6302764513806796
0,0,0,28,23970,4,15,0,1,1,0,0,0,0,0,-5474.337422894299,.2236691435183788
3917,-11777,191247,30,66123,2,18,1,1,1,1,1,0,1,-17673.19842116212,14586.40256649097,.6923170562425589
800,-7200,4300,47,39525,3,16,0,0,0,0,0,0,1,-7200,12666.76282750121,.4364660960055643
85,-4915,-3582,33,20736,1,13,1,0,0,0,0,0,0,-4915,-2488.599286919046,.4870676037323012
0,-1067,-1067,59,6684,5,12,0,1,1,0,0,0,0,-1067,-3217.847483201057,.0429455771079694
100,100,1100,26,20460,4,12,0,0,0,0,0,0,0,100,-3418.757632572891,.1680835069145527
0,-1203,187,51,9720,6,3,0,1,0,0,0,0,0,-1203,-1793.930958577332,.0510613162227549
12205,12205,97205,42,42813,4,18,1,1,1,0,0,0,1,12205,2575.602154006788,.5393544575958935
200,-502302,-502302,46,21240,4,13,0,1,0,1,0,0,1,-508198.1984211621,141.6584126010196,.2148297350611693
0,-2600,1343,39,7560,2,16,0,0,0,0,0,0,0,-2600,-1256.839966831684,.0457033540043848
6099,97899,222899,57,40152,3,14,1,1,1,1,1,1,1,92002.80157883788,37742.32085189852,.6203983427690389
0,0,1500,39,8700,2,10,0,0,0,0,0,0,0,0,-1477.143298436577,.0295014229949931
0,0,0,34,20400,3,13,0,0,0,0,0,0,0,0,-2550.519193265717,.2061182460665511
50,50,-650,28,10200,1,12,0,0,0,0,0,0,0,50,-2148.901854914851,.0842656677121036
1284,-7606,17894,49,26400,2,10,0,1,0,0,0,1,1,-7606,32775.27338209807,.2543514239138279
73000,89500,176300,40,67128,2,14,0,1,0,0,0,1,1,89500,64973.77192404637,.6166358647007124
12675,10175,142175,31,65334,4,12,0,1,1,0,0,0,1,10175,3352.828794497387,.4944324058988633
100,-3900,-575,25,14307,1,14,0,0,0,0,0,0,0,-3900,-2148.901854914851,.10936506337687
11638,11638,11638,27,36474,4,14,0,1,0,1,0,0,0,5741.801578837876,-1406.794361253482,.3027357287343991
428,428,45428,64,21657,2,8,0,1,0,0,0,0,1,428,5030.654830265034,.1181688929917695
1400,-600,3250,30,19443,1,16,1,0,0,0,0,0,0,-600,-2488.599286919046,.4478578840003721
2980,5980,57980,59,64956,3,18,0,1,1,0,0,1,1,5980,65098.01089903732,.5800739013043105
28460,37292,171292,53,80676,2,12,0,1,0,1,1,1,1,31395.80157883788,102107.0576339223,.5871370904771169
1499,1499,6999,39,31860,2,12,1,0,0,0,0,0,0,1499,616.4524029651523,.5596701259772643
10000,39100,45100,39,77493,2,14,1,1,1,1,1,1,0,33203.80157883788,40070.91225052451,.6897569212910676
2398,2398,5398,31,19284,1,14,1,0,0,0,0,0,0,2398,-2488.599286919046,.4596995101112746
17815,15627,69627,34,58881,5,12,0,1,0,1,1,0,1,9730.801578837876,18108.73738906957,.5173836534441735
4500,4470,15470,57,24561,3,12,0,1,0,0,0,0,1,4470,8435.730451015201,.2347234869026917
11999,11999,21449,46,26964,1,12,1,0,0,0,0,0,0,11999,1739.902714522389,.5319084767024062
3949,23949,64949,46,54585,4,16,1,1,1,0,0,1,1,23949,42926.82365312413,.6859407864477766
5190,5190,55190,42,43173,3,13,0,1,0,0,0,0,0,5190,5918.104686948229,.3819702270555774
2199,-4187,-3573,34,40224,3,14,0,0,0,1,1,0,0,-10083.19842116212,1519.88268758338,.365281326236929
16299,14299,43799,48,41565,2,14,0,1,1,1,0,0,1,8402.801578837876,2825.73615131645,.4641516125406074
350,100,100,44,12648,2,12,0,1,0,0,0,0,0,100,-1256.839966831684,.1475930503083457
0,0,0,38,30600,1,18,0,1,0,0,0,0,0,0,1263.101836654835,.2644812196396857
0,-1400,1900,35,30000,6,12,0,1,1,0,0,0,0,-1400,-4816.828631885764,.3069247425006799
1000,1000,1000,58,22302,2,12,0,1,1,0,0,0,0,1000,-1492.3314184807,.1645515372792334
210,210,15210,29,20313,3,12,0,1,0,0,0,0,0,210,-2550.519193265717,.1680835069145527
24099,22635,36635,41,56220,2,17,0,1,1,1,1,0,1,16738.80157883788,8955.076136056065,.419389499894483
0,0,0,46,5589,2,12,0,0,0,0,0,0,0,0,-1000.942095150915,.039673419329621
950,-50,25050,52,44400,2,16,1,1,1,0,0,0,1,-50,14555.84447253507,.6409238896644006
3406,-3244,2756,25,16266,2,13,0,1,1,0,0,0,0,-3244,-4426.687042364963,.1153549404944803
0,-10900,-10900,30,16500,3,11,0,1,0,0,0,0,0,-10900,-2584.852920484817,.0771668487513156
6000,5000,57100,28,68142,3,16,0,1,1,1,0,0,1,-896.1984211621239,10743.09308614378,.6018166307434669
500,-2000,-2000,32,47391,3,13,0,1,1,0,0,0,1,-2000,-813.7486512003127,.4169771664235994
32900,98900,168900,57,81690,4,18,0,1,1,1,1,1,1,93003.80157883788,91230.28422355026,.5730861188071481
20,20,19020,49,7500,4,14,0,0,0,0,0,0,1,20,2316.118921987628,.0627662531088606
100,-2100,8980,38,31896,5,15,1,1,1,0,0,0,1,-2100,-2328.505348621598,.5499834849439249
6500,8500,9000,52,19638,1,10,1,0,0,1,1,0,0,2603.801578837876,556.0287062867862,.3526016815130905
14600,14400,67400,51,29820,2,12,1,1,0,0,0,0,1,14400,6940.077534425284,.5435369875288006
194000,241442,406442,46,48000,4,12,1,1,1,1,1,1,1,235545.8015788379,30876.88634463013,.6383653832035181
120626,242674,400674,52,70872,2,12,0,1,1,1,1,1,1,236777.8015788379,75466.19690493935,.6067961666805661
10500,11887,96887,45,71118,12,13,1,1,1,1,1,1,1,5990.801578837876,63276.88951528772,.7900630215573962
0,0,0,31,21828,4,12,0,1,0,0,0,0,0,0,-3418.757632572891,.1680835069145527
18947,19747,24747,36,1137,5,16,0,1,0,0,0,1,1,19747,19158.37978500732,.1143339134079191
2600,-6400,-3200,45,50025,2,12,0,1,1,0,0,0,1,-6400,9631.71528121737,.5063592383639096
5,-995,1430,29,15555,2,9,0,0,0,0,0,0,0,-995,-2183.235582133951,.0669523615053973
849,-3351,14399,32,24045,1,13,1,0,0,0,0,0,1,-3351,-339.9548101166428,.5255530671120022
20,-1755,6245,30,21690,5,12,0,1,1,0,0,0,1,-1755,-3771.597856375049,.1903812008243023
1000,350,4550,25,7680,1,16,0,0,0,0,0,0,0,350,-2148.901854914851,.0474949116291264
1749,14249,210674,48,49746,1,14,1,0,0,1,1,1,1,8352.801578837876,53151.99648268071,.7190556030906844
0,0,0,46,14040,2,12,1,0,0,0,0,0,0,0,-1340.639527155111,.4186634194081906
17000,29000,339000,36,95592,4,17,0,1,1,0,0,1,1,29000,59247.55124905577,.6036291840914746
9998,9998,16798,33,40470,3,14,0,1,0,0,0,0,1,9998,5694.449571572382,.4507940813493881
44998,43198,43198,47,84378,3,13,0,1,1,0,0,0,0,43198,26110.08043196002,.3819375368593866
1200,-733,17267,55,17196,2,14,1,1,0,1,0,0,1,-6629.198421162124,4796.675525576307,.4094285096621486
0,0,0,41,12471,1,12,1,0,0,0,0,0,0,0,-1596.537398835879,.4449573085904842
150,-10550,4426,25,31635,3,12,1,1,1,1,0,0,1,-16446.19842116212,-2964.160559208668,.4834575443800168
599,599,10599,39,47937,4,12,0,1,1,0,0,0,1,599,-486.4625266491495,.4465286484146273
